Date,Current_Quadrant,3M_Forecast_Quad,3M_Conviction,3M_Real_Date,3M_Real_Quad,3M_Hit,6M_Forecast_Quad,6M_Conviction,6M_Real_Date,6M_Real_Quad,6M_Hit,9M_Forecast_Quad,9M_Conviction,9M_Real_Date,9M_Real_Quad,9M_Hit
2009-11-01,Expansion,Expansion,72.6,2010-02-01,Expansion,True,Expansion,63.6,2010-05-01,Slowdown,False,Expansion,54.6,2010-08-01,Slowdown,False
2009-12-01,Expansion,Expansion,72.3,2010-03-01,Expansion,True,Expansion,63.3,2010-06-01,Slowdown,False,Expansion,36.3,2010-09-01,Slowdown,False
2010-01-01,Expansion,Slowdown,54.2,2010-04-01,Expansion,False,Slowdown,45.2,2010-07-01,Slowdown,True,Slowdown,36.2,2010-10-01,Slowdown,True
2010-02-01,Expansion,Slowdown,54.2,2010-05-01,Slowdown,True,Slowdown,45.2,2010-08-01,Slowdown,True,Slowdown,36.2,2010-11-01,Slowdown,True
2010-03-01,Expansion,Slowdown,54.0,2010-06-01,Slowdown,True,Slowdown,45.0,2010-09-01,Slowdown,True,Slowdown,36.0,2010-12-01,Slowdown,True
2010-04-01,Expansion,Slowdown,53.9,2010-07-01,Slowdown,True,Slowdown,44.9,2010-10-01,Slowdown,True,Slowdown,35.9,2011-01-01,Slowdown,True
2010-05-01,Slowdown,Slowdown,72.4,2010-08-01,Slowdown,True,Slowdown,63.4,2010-11-01,Slowdown,True,Slowdown,36.4,2011-02-01,Slowdown,True
2010-06-01,Slowdown,Slowdown,72.3,2010-09-01,Slowdown,True,Slowdown,63.3,2010-12-01,Slowdown,True,Slowdown,36.3,2011-03-01,Slowdown,True
2010-07-01,Slowdown,Slowdown,72.0,2010-10-01,Slowdown,True,Slowdown,63.0,2011-01-01,Slowdown,True,Slowdown,36.0,2011-04-01,Slowdown,True
2010-08-01,Slowdown,Slowdown,71.9,2010-11-01,Slowdown,True,Slowdown,62.9,2011-02-01,Slowdown,True,Slowdown,35.9,2011-05-01,Slowdown,True
2010-09-01,Slowdown,Slowdown,71.7,2010-12-01,Slowdown,True,Slowdown,62.7,2011-03-01,Slowdown,True,Slowdown,35.7,2011-06-01,Contraction,False
2010-10-01,Slowdown,Slowdown,71.5,2011-01-01,Slowdown,True,Slowdown,62.5,2011-04-01,Slowdown,True,Slowdown,35.5,2011-07-01,Contraction,False
2010-11-01,Slowdown,Slowdown,71.3,2011-02-01,Slowdown,True,Slowdown,62.3,2011-05-01,Slowdown,True,Slowdown,35.3,2011-08-01,Contraction,False
2010-12-01,Slowdown,Slowdown,71.1,2011-03-01,Slowdown,True,Slowdown,62.1,2011-06-01,Contraction,False,Contraction,35.1,2011-09-01,Contraction,True
2011-01-01,Slowdown,Slowdown,71.0,2011-04-01,Slowdown,True,Slowdown,62.0,2011-07-01,Contraction,False,Contraction,35.0,2011-10-01,Contraction,True
2011-02-01,Slowdown,Slowdown,71.0,2011-05-01,Slowdown,True,Slowdown,44.0,2011-08-01,Contraction,False,Contraction,35.0,2011-11-01,Contraction,True
2011-03-01,Slowdown,Slowdown,70.6,2011-06-01,Contraction,False,Contraction,43.6,2011-09-01,Contraction,True,Contraction,34.6,2011-12-01,Contraction,True
2011-04-01,Slowdown,Slowdown,52.0,2011-07-01,Contraction,False,Contraction,43.0,2011-10-01,Contraction,True,Contraction,34.0,2012-01-01,Contraction,True
2011-05-01,Slowdown,Contraction,51.7,2011-08-01,Contraction,True,Contraction,42.7,2011-11-01,Contraction,True,Contraction,15.0,2012-02-01,Contraction,True
2011-06-01,Contraction,Contraction,70.5,2011-09-01,Contraction,True,Contraction,43.5,2011-12-01,Contraction,True,Contraction,34.5,2012-03-01,Contraction,True
2011-07-01,Contraction,Contraction,71.3,2011-10-01,Contraction,True,Contraction,44.3,2012-01-01,Contraction,True,Recovery,35.3,2012-04-01,Contraction,False
2011-08-01,Contraction,Contraction,71.8,2011-11-01,Contraction,True,Contraction,44.8,2012-02-01,Contraction,True,Recovery,35.8,2012-05-01,Contraction,False
2011-09-01,Contraction,Contraction,72.5,2011-12-01,Contraction,True,Contraction,45.5,2012-03-01,Contraction,True,Recovery,36.5,2012-06-01,Contraction,False
2011-10-01,Contraction,Contraction,73.0,2012-01-01,Contraction,True,Recovery,46.0,2012-04-01,Contraction,False,Recovery,37.0,2012-07-01,Contraction,False
2011-11-01,Contraction,Contraction,54.7,2012-02-01,Contraction,True,Recovery,45.7,2012-05-01,Contraction,False,Recovery,36.7,2012-08-01,Contraction,False
2011-12-01,Contraction,Contraction,54.4,2012-03-01,Contraction,True,Recovery,45.4,2012-06-01,Contraction,False,Recovery,36.4,2012-09-01,Recovery,True
2012-01-01,Contraction,Contraction,53.7,2012-04-01,Contraction,True,Recovery,44.7,2012-07-01,Contraction,False,Recovery,35.7,2012-10-01,Recovery,True
2012-02-01,Contraction,Recovery,53.2,2012-05-01,Contraction,False,Recovery,44.2,2012-08-01,Contraction,False,Recovery,35.2,2012-11-01,Recovery,True
2012-03-01,Contraction,Recovery,53.1,2012-06-01,Contraction,False,Recovery,44.1,2012-09-01,Recovery,True,Recovery,35.1,2012-12-01,Recovery,True
2012-04-01,Contraction,Recovery,53.1,2012-07-01,Contraction,False,Recovery,44.1,2012-10-01,Recovery,True,Recovery,15.0,2013-01-01,Recovery,True
2012-05-01,Contraction,Recovery,53.1,2012-08-01,Contraction,False,Recovery,44.1,2012-11-01,Recovery,True,Recovery,15.0,2013-02-01,Recovery,True
2012-06-01,Contraction,Recovery,53.2,2012-09-01,Recovery,True,Recovery,44.2,2012-12-01,Recovery,True,Recovery,15.0,2013-03-01,Recovery,True
2012-07-01,Contraction,Recovery,53.5,2012-10-01,Recovery,True,Recovery,22.5,2013-01-01,Recovery,True,Expansion,15.0,2013-04-01,Recovery,False
2012-08-01,Contraction,Recovery,53.9,2012-11-01,Recovery,True,Recovery,22.9,2013-02-01,Recovery,True,Expansion,15.0,2013-05-01,Recovery,False
2012-09-01,Recovery,Recovery,68.7,2012-12-01,Recovery,True,Recovery,41.7,2013-03-01,Recovery,True,Recovery,32.7,2013-06-01,Recovery,True
2012-10-01,Recovery,Recovery,69.2,2013-01-01,Recovery,True,Recovery,42.2,2013-04-01,Recovery,True,Expansion,33.2,2013-07-01,Recovery,False
2012-11-01,Recovery,Recovery,69.6,2013-02-01,Recovery,True,Recovery,42.6,2013-05-01,Recovery,True,Expansion,33.6,2013-08-01,Recovery,False
2012-12-01,Recovery,Recovery,70.0,2013-03-01,Recovery,True,Recovery,43.0,2013-06-01,Recovery,True,Expansion,34.0,2013-09-01,Recovery,False
2013-01-01,Recovery,Recovery,70.3,2013-04-01,Recovery,True,Recovery,43.3,2013-07-01,Recovery,True,Expansion,34.3,2013-10-01,Recovery,False
2013-02-01,Recovery,Recovery,70.5,2013-05-01,Recovery,True,Recovery,43.5,2013-08-01,Recovery,True,Expansion,34.5,2013-11-01,Recovery,False
2013-03-01,Recovery,Recovery,70.6,2013-06-01,Recovery,True,Recovery,43.6,2013-09-01,Recovery,True,Expansion,34.6,2013-12-01,Recovery,False
2013-04-01,Recovery,Recovery,70.7,2013-07-01,Recovery,True,Recovery,43.7,2013-10-01,Recovery,True,Expansion,34.7,2014-01-01,Recovery,False
2013-05-01,Recovery,Recovery,71.1,2013-08-01,Recovery,True,Recovery,44.1,2013-11-01,Recovery,True,Expansion,35.1,2014-02-01,Recovery,False
2013-06-01,Recovery,Recovery,71.3,2013-09-01,Recovery,True,Recovery,44.3,2013-12-01,Recovery,True,Expansion,35.3,2014-03-01,Recovery,False
2013-07-01,Recovery,Recovery,71.5,2013-10-01,Recovery,True,Recovery,44.5,2014-01-01,Recovery,True,Expansion,35.5,2014-04-01,Recovery,False
2013-08-01,Recovery,Recovery,71.9,2013-11-01,Recovery,True,Recovery,44.9,2014-02-01,Recovery,True,Expansion,35.9,2014-05-01,Expansion,True
2013-09-01,Recovery,Recovery,72.0,2013-12-01,Recovery,True,Recovery,45.0,2014-03-01,Recovery,True,Expansion,36.0,2014-06-01,Expansion,True
2013-10-01,Recovery,Recovery,71.8,2014-01-01,Recovery,True,Recovery,44.8,2014-04-01,Recovery,True,Expansion,35.8,2014-07-01,Expansion,True
2013-11-01,Recovery,Recovery,71.6,2014-02-01,Recovery,True,Expansion,44.6,2014-05-01,Expansion,True,Expansion,35.6,2014-08-01,Expansion,True
2013-12-01,Recovery,Recovery,53.6,2014-03-01,Recovery,True,Expansion,44.6,2014-06-01,Expansion,True,Expansion,35.6,2014-09-01,Expansion,True
2014-01-01,Recovery,Recovery,53.7,2014-04-01,Recovery,True,Expansion,44.7,2014-07-01,Expansion,True,Expansion,35.7,2014-10-01,Expansion,True
2014-02-01,Recovery,Expansion,53.9,2014-05-01,Expansion,True,Expansion,44.9,2014-08-01,Expansion,True,Expansion,35.9,2014-11-01,Expansion,True
2014-03-01,Recovery,Expansion,54.2,2014-06-01,Expansion,True,Expansion,45.2,2014-09-01,Expansion,True,Expansion,36.2,2014-12-01,Expansion,True
2014-04-01,Recovery,Expansion,54.4,2014-07-01,Expansion,True,Expansion,45.4,2014-10-01,Expansion,True,Expansion,36.4,2015-01-01,Expansion,True
2014-05-01,Expansion,Expansion,70.9,2014-08-01,Expansion,True,Expansion,61.9,2014-11-01,Expansion,True,Expansion,52.9,2015-02-01,Expansion,True
2014-06-01,Expansion,Expansion,71.3,2014-09-01,Expansion,True,Expansion,62.3,2014-12-01,Expansion,True,Expansion,53.3,2015-03-01,Expansion,True
2014-07-01,Expansion,Expansion,71.7,2014-10-01,Expansion,True,Expansion,62.7,2015-01-01,Expansion,True,Expansion,53.7,2015-04-01,Slowdown,False
2014-08-01,Expansion,Expansion,72.1,2014-11-01,Expansion,True,Expansion,63.1,2015-02-01,Expansion,True,Expansion,54.1,2015-05-01,Slowdown,False
2014-09-01,Expansion,Expansion,72.4,2014-12-01,Expansion,True,Expansion,63.4,2015-03-01,Expansion,True,Expansion,54.4,2015-06-01,Slowdown,False
2014-10-01,Expansion,Expansion,72.7,2015-01-01,Expansion,True,Expansion,63.7,2015-04-01,Slowdown,False,Expansion,54.7,2015-07-01,Slowdown,False
2014-11-01,Expansion,Expansion,72.8,2015-02-01,Expansion,True,Expansion,63.8,2015-05-01,Slowdown,False,Slowdown,36.8,2015-08-01,Slowdown,True
2014-12-01,Expansion,Expansion,72.7,2015-03-01,Expansion,True,Expansion,45.7,2015-06-01,Slowdown,False,Slowdown,36.7,2015-09-01,Slowdown,True
2015-01-01,Expansion,Slowdown,54.6,2015-04-01,Slowdown,True,Slowdown,45.6,2015-07-01,Slowdown,True,Slowdown,36.6,2015-10-01,Slowdown,True
2015-02-01,Expansion,Slowdown,54.5,2015-05-01,Slowdown,True,Slowdown,45.5,2015-08-01,Slowdown,True,Slowdown,36.5,2015-11-01,Slowdown,True
2015-03-01,Expansion,Slowdown,54.2,2015-06-01,Slowdown,True,Slowdown,45.2,2015-09-01,Slowdown,True,Slowdown,36.2,2015-12-01,Slowdown,True
2015-04-01,Slowdown,Slowdown,72.7,2015-07-01,Slowdown,True,Slowdown,63.7,2015-10-01,Slowdown,True,Slowdown,54.7,2016-01-01,Slowdown,True
2015-05-01,Slowdown,Slowdown,72.5,2015-08-01,Slowdown,True,Slowdown,63.5,2015-11-01,Slowdown,True,Slowdown,54.5,2016-02-01,Slowdown,True
2015-06-01,Slowdown,Slowdown,72.5,2015-09-01,Slowdown,True,Slowdown,63.5,2015-12-01,Slowdown,True,Slowdown,36.5,2016-03-01,Slowdown,True
2015-07-01,Slowdown,Slowdown,72.4,2015-10-01,Slowdown,True,Slowdown,63.4,2016-01-01,Slowdown,True,Slowdown,36.4,2016-04-01,Slowdown,True
2015-08-01,Slowdown,Slowdown,72.3,2015-11-01,Slowdown,True,Slowdown,63.3,2016-02-01,Slowdown,True,Slowdown,36.3,2016-05-01,Contraction,False
2015-09-01,Slowdown,Slowdown,72.1,2015-12-01,Slowdown,True,Slowdown,63.1,2016-03-01,Slowdown,True,Contraction,36.1,2016-06-01,Contraction,True
2015-10-01,Slowdown,Slowdown,71.8,2016-01-01,Slowdown,True,Slowdown,44.8,2016-04-01,Slowdown,True,Contraction,35.8,2016-07-01,Contraction,True
2015-11-01,Slowdown,Slowdown,71.7,2016-02-01,Slowdown,True,Slowdown,44.7,2016-05-01,Contraction,False,Contraction,35.7,2016-08-01,Contraction,True
2015-12-01,Slowdown,Slowdown,71.4,2016-03-01,Slowdown,True,Contraction,44.4,2016-06-01,Contraction,True,Contraction,35.4,2016-09-01,Contraction,True
2016-01-01,Slowdown,Slowdown,71.0,2016-04-01,Slowdown,True,Contraction,44.0,2016-07-01,Contraction,True,Contraction,35.0,2016-10-01,Contraction,True
2016-02-01,Slowdown,Contraction,52.8,2016-05-01,Contraction,True,Contraction,43.8,2016-08-01,Contraction,True,Contraction,34.8,2016-11-01,Contraction,True
2016-03-01,Slowdown,Contraction,52.8,2016-06-01,Contraction,True,Contraction,43.8,2016-09-01,Contraction,True,Contraction,34.8,2016-12-01,Contraction,True
2016-04-01,Slowdown,Contraction,52.5,2016-07-01,Contraction,True,Contraction,43.5,2016-10-01,Contraction,True,Contraction,15.0,2017-01-01,Recovery,False
2016-05-01,Contraction,Contraction,72.0,2016-08-01,Contraction,True,Contraction,63.0,2016-11-01,Contraction,True,Contraction,36.0,2017-02-01,Recovery,False
2016-06-01,Contraction,Contraction,72.4,2016-09-01,Contraction,True,Contraction,45.4,2016-12-01,Contraction,True,Contraction,36.4,2017-03-01,Recovery,False
2016-07-01,Contraction,Contraction,72.6,2016-10-01,Contraction,True,Contraction,45.6,2017-01-01,Recovery,False,Contraction,36.6,2017-04-01,Recovery,False
2016-08-01,Contraction,Contraction,73.0,2016-11-01,Contraction,True,Contraction,46.0,2017-02-01,Recovery,False,Contraction,37.0,2017-05-01,Recovery,False
2016-09-01,Contraction,Contraction,72.8,2016-12-01,Contraction,True,Contraction,45.8,2017-03-01,Recovery,False,Recovery,36.8,2017-06-01,Recovery,True
2016-10-01,Contraction,Contraction,72.9,2017-01-01,Recovery,False,Recovery,45.9,2017-04-01,Recovery,True,Recovery,36.9,2017-07-01,Recovery,True
2016-11-01,Contraction,Contraction,54.4,2017-02-01,Recovery,False,Recovery,45.4,2017-05-01,Recovery,True,Recovery,36.4,2017-08-01,Expansion,False
2016-12-01,Contraction,Recovery,54.3,2017-03-01,Recovery,True,Recovery,45.3,2017-06-01,Recovery,True,Recovery,36.3,2017-09-01,Expansion,False
2017-01-01,Recovery,Recovery,70.0,2017-04-01,Recovery,True,Recovery,61.0,2017-07-01,Recovery,True,Recovery,34.0,2017-10-01,Expansion,False
2017-02-01,Recovery,Recovery,70.8,2017-05-01,Recovery,True,Recovery,61.8,2017-08-01,Expansion,False,Recovery,34.8,2017-11-01,Expansion,False
2017-03-01,Recovery,Recovery,71.4,2017-06-01,Recovery,True,Recovery,62.4,2017-09-01,Expansion,False,Recovery,35.4,2017-12-01,Expansion,False
2017-04-01,Recovery,Recovery,72.1,2017-07-01,Recovery,True,Recovery,45.1,2017-10-01,Expansion,False,Expansion,36.1,2018-01-01,Expansion,True
2017-05-01,Recovery,Recovery,72.2,2017-08-01,Expansion,False,Expansion,45.2,2017-11-01,Expansion,True,Expansion,36.2,2018-02-01,Expansion,True
2017-06-01,Recovery,Expansion,53.8,2017-09-01,Expansion,True,Expansion,44.8,2017-12-01,Expansion,True,Expansion,35.8,2018-03-01,Expansion,True
2017-07-01,Recovery,Expansion,54.3,2017-10-01,Expansion,True,Expansion,45.3,2018-01-01,Expansion,True,Expansion,36.3,2018-04-01,Expansion,True
2017-08-01,Expansion,Expansion,71.9,2017-11-01,Expansion,True,Expansion,62.9,2018-02-01,Expansion,True,Expansion,53.9,2018-05-01,Expansion,True
2017-09-01,Expansion,Expansion,71.8,2017-12-01,Expansion,True,Expansion,62.8,2018-03-01,Expansion,True,Expansion,53.8,2018-06-01,Expansion,True
2017-10-01,Expansion,Expansion,71.5,2018-01-01,Expansion,True,Expansion,62.5,2018-04-01,Expansion,True,Expansion,35.5,2018-07-01,Slowdown,False
2017-11-01,Expansion,Expansion,71.2,2018-02-01,Expansion,True,Expansion,62.2,2018-05-01,Expansion,True,Expansion,53.2,2018-08-01,Slowdown,False
2017-12-01,Expansion,Expansion,71.7,2018-03-01,Expansion,True,Expansion,62.7,2018-06-01,Expansion,True,Expansion,53.7,2018-09-01,Slowdown,False
2018-01-01,Expansion,Expansion,72.1,2018-04-01,Expansion,True,Expansion,63.1,2018-07-01,Slowdown,False,Expansion,54.1,2018-10-01,Slowdown,False
2018-02-01,Expansion,Expansion,72.6,2018-05-01,Expansion,True,Expansion,63.6,2018-08-01,Slowdown,False,Expansion,36.6,2018-11-01,Slowdown,False
2018-03-01,Expansion,Expansion,72.8,2018-06-01,Expansion,True,Expansion,63.8,2018-09-01,Slowdown,False,Slowdown,36.8,2018-12-01,Slowdown,True
2018-04-01,Expansion,Expansion,72.7,2018-07-01,Slowdown,False,Expansion,45.7,2018-10-01,Slowdown,False,Slowdown,36.7,2019-01-01,Slowdown,True
2018-05-01,Expansion,Slowdown,54.6,2018-08-01,Slowdown,True,Slowdown,45.6,2018-11-01,Slowdown,True,Slowdown,36.6,2019-02-01,Slowdown,True
2018-06-01,Expansion,Slowdown,54.5,2018-09-01,Slowdown,True,Slowdown,45.5,2018-12-01,Slowdown,True,Slowdown,36.5,2019-03-01,Slowdown,True
2018-07-01,Slowdown,Slowdown,72.8,2018-10-01,Slowdown,True,Slowdown,63.8,2019-01-01,Slowdown,True,Slowdown,54.8,2019-04-01,Slowdown,True
2018-08-01,Slowdown,Slowdown,72.9,2018-11-01,Slowdown,True,Slowdown,63.9,2019-02-01,Slowdown,True,Slowdown,54.9,2019-05-01,Slowdown,True
2018-09-01,Slowdown,Slowdown,72.7,2018-12-01,Slowdown,True,Slowdown,63.7,2019-03-01,Slowdown,True,Slowdown,54.7,2019-06-01,Slowdown,True
2018-10-01,Slowdown,Slowdown,72.6,2019-01-01,Slowdown,True,Slowdown,63.6,2019-04-01,Slowdown,True,Slowdown,54.6,2019-07-01,Slowdown,True
2018-11-01,Slowdown,Slowdown,72.6,2019-02-01,Slowdown,True,Slowdown,63.6,2019-05-01,Slowdown,True,Slowdown,36.6,2019-08-01,Contraction,False
2018-12-01,Slowdown,Slowdown,72.6,2019-03-01,Slowdown,True,Slowdown,63.6,2019-06-01,Slowdown,True,Slowdown,36.6,2019-09-01,Contraction,False
2019-01-01,Slowdown,Slowdown,72.5,2019-04-01,Slowdown,True,Slowdown,63.5,2019-07-01,Slowdown,True,Contraction,36.5,2019-10-01,Contraction,True
2019-02-01,Slowdown,Slowdown,72.8,2019-05-01,Slowdown,True,Slowdown,45.8,2019-08-01,Contraction,False,Contraction,36.8,2019-11-01,Contraction,True
2019-03-01,Slowdown,Slowdown,72.7,2019-06-01,Slowdown,True,Contraction,45.7,2019-09-01,Contraction,True,Contraction,54.7,2019-12-01,Contraction,True
2019-04-01,Slowdown,Slowdown,54.7,2019-07-01,Slowdown,True,Contraction,63.7,2019-10-01,Contraction,True,Contraction,54.7,2020-01-01,Contraction,True
2019-05-01,Slowdown,Slowdown,54.4,2019-08-01,Contraction,False,Contraction,63.4,2019-11-01,Contraction,True,Contraction,54.4,2020-02-01,Contraction,True
2019-06-01,Slowdown,Contraction,53.9,2019-09-01,Contraction,True,Contraction,62.9,2019-12-01,Contraction,True,Contraction,53.9,2020-03-01,Contraction,True
2019-07-01,Slowdown,Contraction,71.5,2019-10-01,Contraction,True,Contraction,62.5,2020-01-01,Contraction,True,Contraction,53.5,2020-04-01,Contraction,True
2019-08-01,Contraction,Contraction,70.6,2019-11-01,Contraction,True,Contraction,43.6,2020-02-01,Contraction,True,Contraction,34.6,2020-05-01,Recovery,False
2019-09-01,Contraction,Contraction,70.2,2019-12-01,Contraction,True,Contraction,43.2,2020-03-01,Contraction,True,Recovery,34.2,2020-06-01,Recovery,True
2019-10-01,Contraction,Contraction,70.2,2020-01-01,Contraction,True,Contraction,43.2,2020-04-01,Contraction,True,Recovery,34.2,2020-07-01,Recovery,True
2019-11-01,Contraction,Contraction,70.3,2020-02-01,Contraction,True,Contraction,43.3,2020-05-01,Recovery,False,Recovery,34.3,2020-08-01,Recovery,True
2019-12-01,Contraction,Contraction,69.9,2020-03-01,Contraction,True,Recovery,42.9,2020-06-01,Recovery,True,Recovery,33.9,2020-09-01,Expansion,False
2020-01-01,Contraction,Contraction,52.0,2020-04-01,Contraction,True,Recovery,43.0,2020-07-01,Recovery,True,Recovery,52.0,2020-10-01,Expansion,False
2020-02-01,Contraction,Recovery,52.2,2020-05-01,Recovery,True,Recovery,61.2,2020-08-01,Recovery,True,Recovery,52.2,2020-11-01,Expansion,False
2020-03-01,Contraction,Contraction,52.3,2020-06-01,Recovery,False,Contraction,25.3,2020-09-01,Expansion,False,Contraction,16.3,2020-12-01,Expansion,False
2020-04-01,Contraction,Contraction,53.2,2020-07-01,Recovery,False,Contraction,26.2,2020-10-01,Expansion,False,Contraction,17.2,2021-01-01,Expansion,False
2020-05-01,Recovery,Recovery,66.0,2020-08-01,Recovery,True,Recovery,39.0,2020-11-01,Expansion,False,Recovery,30.0,2021-02-01,Expansion,False
2020-06-01,Recovery,Expansion,54.3,2020-09-01,Expansion,True,Expansion,63.3,2020-12-01,Expansion,True,Expansion,54.3,2021-03-01,Expansion,True
2020-07-01,Recovery,Expansion,52.4,2020-10-01,Expansion,True,Expansion,43.4,2021-01-01,Expansion,True,Expansion,52.4,2021-04-01,Expansion,True
2020-08-01,Recovery,Slowdown,51.2,2020-11-01,Expansion,False,Slowdown,20.2,2021-02-01,Expansion,False,Slowdown,15.0,2021-05-01,Expansion,False
2020-09-01,Expansion,Expansion,30.2,2020-12-01,Expansion,True,Slowdown,21.2,2021-03-01,Expansion,False,Slowdown,15.0,2021-06-01,Expansion,False
